Date,NIFTY_50_Open,NIFTY_50_High,NIFTY_50_Low,NIFTY_50_Close,Auto_Open,Auto_High,Auto_Low,Auto_Close,Bank_Open,Bank_High,Bank_Low,Bank_Close,FMCG_Open,FMCG_High,FMCG_Low,FMCG_Close,IT_Open,IT_High,IT_Low,IT_Close,Next_50_Open,Next_50_High,Next_50_Low,Next_50_Close,Energy_Open,Energy_High,Energy_Low,Energy_Close
8 Jul 2019,11770.4,11771.9,11523.3,11558.6,11770.4,23 Mar 1932,11523.3,11558.6,11770.4,11771.9,11523.3,11558.6,11770.4,11771.9,11523.3,11558.6,11770.4,11771.9,11523.3,11558.6,11770.4,11771.9,11523.3,11558.6,11770.4,11771.9,11523.3,11558.6
9 Jul 2019,11531.6,11582.55,11461,11555.9,11531.6,16 Sep 1931,11461,11555.9,11531.6,11582.55,11461,11555.9,11531.6,11582.55,11461,11555.9,11531.6,11582.55,11461,11555.9,11531.6,11582.55,11461,11555.9,11531.6,11582.55,11461,11555.9
10 Jul 2019,11536.15,11593.7,11475.65,11498.9,11536.15,27 Sep 1931,11475.65,11498.9,11536.15,11593.7,11475.65,11498.9,11536.15,11593.7,11475.65,11498.9,11536.15,11593.7,11475.65,11498.9,11536.15,11593.7,11475.65,11498.9,11536.15,11593.7,11475.65,11498.9
11 Jul 2019,11561.45,11599,11519.5,11582.9,11561.45,3 Oct 1931,11519.5,11582.9,11561.45,11599,11519.5,11582.9,11561.45,11599,11519.5,11582.9,11561.45,11599,11519.5,11582.9,11561.45,11599,11519.5,11582.9,11561.45,11599,11519.5,11582.9
12 Jul 2019,11601.15,11639.55,11538.6,11552.5,11601.15,12 Nov 1931,11538.6,11552.5,11601.15,11639.55,11538.6,11552.5,11601.15,11639.55,11538.6,11552.5,11601.15,11639.55,11538.6,11552.5,11601.15,11639.55,11538.6,11552.5,11601.15,11639.55,11538.6,11552.5
15 Jul 2019,11614.75,11618.4,11532.3,11588.35,11614.75,22 Oct 1931,11532.3,11588.35,11614.75,11618.4,11532.3,11588.35,11614.75,11618.4,11532.3,11588.35,11614.75,11618.4,11532.3,11588.35,11614.75,11618.4,11532.3,11588.35,11614.75,11618.4,11532.3,11588.35
16 Jul 2019,11596.65,11670.05,11573.95,11662.6,11596.65,13 Dec 1931,11573.95,11662.6,11596.65,11670.05,11573.95,11662.6,11596.65,11670.05,11573.95,11662.6,11596.65,11670.05,11573.95,11662.6,11596.65,11670.05,11573.95,11662.6,11596.65,11670.05,11573.95,11662.6
17 Jul 2019,11670.75,11706.65,11651.15,11687.5,11670.75,18 Jan 1932,11651.15,11687.5,11670.75,11706.65,11651.15,11687.5,11670.75,11706.65,11651.15,11687.5,11670.75,11706.65,11651.15,11687.5,11670.75,11706.65,11651.15,11687.5,11670.75,11706.65,11651.15,11687.5
18 Jul 2019,11675.6,11677.15,11582.4,11596.9,11675.6,20 Dec 1931,11582.4,11596.9,11675.6,11677.15,11582.4,11596.9,11675.6,11677.15,11582.4,11596.9,11675.6,11677.15,11582.4,11596.9,11675.6,11677.15,11582.4,11596.9,11675.6,11677.15,11582.4,11596.9
19 Jul 2019,11627.95,11640.35,11399.3,11419.25,11627.95,13 Nov 1931,11399.3,11419.25,11627.95,11640.35,11399.3,11419.25,11627.95,11640.35,11399.3,11419.25,11627.95,11640.35,11399.3,11419.25,11627.95,11640.35,11399.3,11419.25,11627.95,11640.35,11399.3,11419.25
